id,ground_truth,F5-TTS-o,wer
188,cảnh sát biết rằng có một nhóm bí mật hoạt động bất hợp pháp,"Cái này hoàn toàn tử động, vì vậy anh cần bấm nút mở ông Kinh.",107.14
189,thiết bị còn gửi thông điệp cảnh báo tới người chủ khi pin sắp hết,Thực ra thà không đến đến nỗi mơ mộng đến mến mê mùi để chẳng hiệu tấm lòng của những người thân thông qua lời khuyên nhũ.,173.33
19,dư luận đã phản ánh lên cơ quan địa chính của thị trấn nhưng mãi chả thấy hồi âm,"Jari đây là Jack, làm ơn gọi cho Edit.",100.0
190,xin vui lòng cứ mang giày,Phần của quý vị có màu đen bao lâu rồi?,166.67
191,tôi không biết chắc là có tai nạn,Mở?,100.0
192,tao nhanh đến mức nào,Khát mộng tủ.,100.0
193,bữa tiệc sống động -N,Tôi đi bỏ.,100.0
194,vậy còn yếu tố tinh thần thì sao,Con trai của họ ăn nhiều nhất,100.0
195,cái này trên tầng ba,Anh có mang tiền lẽ không?,120.0
196,chuyến bay của anh khi nào,Xin chào vui lòng nối máy cho tôi đến bàn đặc phòng.,200.0
197,không không phải có bàn trống cho hai người không,"Chúng tôi phải đi bây giờ, tôi rất thích bài kêu vũ",110.0
198,tôi có thể có một tờ tạp chí khác không,Hôm nay Xu Khong ở đây,100.0
199,bán cho tôi một vé hạng hai đến chermarn,Bữa sáng có gì?,100.0
2,họ đã xét nghiệm máu cho cheng nhưng mọi thứ vẫn hoàn toàn bình thường,Tôi có thể viết tên địa chỉ số điện thoại của công ty bảo hiểm của Anh được không?,126.67
20,giả danh làm từ thiện lừa tiền người dân,Tất cả những gì nước Mỹ làm chỉ đơn thuận là vì muốn sở hữu những nguồn tài nguyên quý giá của các quốc gia đó.,277.78
200,Jerry đây là Jack làm ơn gọi cho Edith,Tôi muốn chỉ ra rằng...,100.0
201,tất cả những gì nước mỹ làm chỉ đơn thuần là vì muốn sở hữu những nguồn tài nguyên quý giá của các quốc gia đó,Banh đồ giá Mỹ nữ,96.15
202,chúng sở hữu tiếng thét chói tai và rất thích nhảy nhót,Đọc giả của tôi muốn hướng tới là sinh viên và chỉ thức.,108.33
203,tưởng dễ đẻ trứng vàng nhiều đơn vị ùn ùn xin thành lập công ty chứng khoán ngay lúc thị trường đỉnh cao,"Do vậy việc y án sơ thậm là hoàn toàn có cơ, sở.",100.0
204,ừ bạn đứng không đúng băng chuyền,Đồng cơ bị nóng quá,100.0
205,ngân hàng phương nam cũng một phen hú vía khi thông tin rủi ro tín dụng bị rò rỉ ra ngoài,"Hầu như không ai chú ý đến những mận lệnh ông đưa ra nữa, binh lính thì không chịu. Chín đấu!",100.0
206,bà mẹ nghèo đông con,Tôi đến cùng bạn tôi được không?,140.0
207,mẫu xe được trình làng ở triển lãm được giới truyền thông coi là hình mẫu của chiếc bốn cửa sẽ ra mắt vào tới,Trường nào thì khu bị đóng cửa sẽ mở cửa cho xe đi.,96.0
208,anh mặc cái này trông rất đẹp,"Đây là một áp lực, nặng nề đối với các đơn vị sản xuất thép.",214.29
209,chưa có thông tin về bệnh chết người ở nước này,"Sản phẩm đã được miễn diện thoạm thuế chủ, yếu phục vụ, thị trường cắt, tỉnh miền Tây Nam Bộ đã biến khỏi Mỹ khởi.",227.27
21,sắm đồ siêu sang ở hội chợ triệu phú,Chúng sở hữu tiến thét trói tai và rất thích nhảy nhót.,133.33
210,cho tôi bản đồ thành phố được không,Tôi nói cậu có nghe không?,100.0
211,đều không quan trọng,Tôi có thể ở lại 3 đêm.,175.0
212,có lúc họ đút hai tay trong túi hai vai rụt lại mà đi có lúc đánh tay thoải mái ưỡn ngực,Tuy nhiên giá bán vẫn dữ mức khá cao.,100.0
213,tôi bị ung thư,Không mở cửa ồ át,125.0
214,tôi không thể hiểu bạn,Điều chỉ email của tôi là sẽ tệ ảnh giọt má tệ Nassauro ngựa giọt để.,300.0
215,tôi cảm thấy rất nặng nề tôi không thể di chuyển chân của tôi,Tôi có một số câu hỏi về điều khoảng số 8.,100.0
216,tình yêu là mù quáng người đang yêu không thấy khuyết điểm của người khác,Tôi thường có nhưng tôi thích nghĩa her.,100.0
217,phát tờ rơi quảng cáo biến thành rác đô thị,Ngày mai chúng tôi phải dạy sớm.,100.0
218,cô ấy có thính giác ảo,Dòng sản phẩm thảm đó thôi. Mên mỏi ánh nhìn bởi chi tiết xếp nếp mềm mại.,283.33
219,đôi khi trong các khẩu súng các em mang trên người không hề có đạn -N chỉ là một thứ hù dọa những,Với dầu và muộn mặt nả táo và mật ông sẽ giúp bạn cải thiện lanh da.,100.0
22,nếu làm lộ thiên cơ âm binh sẽ đánh trả thầy,Tướng dễ để chứng vàng nhiều đơn vị ùng ồn xin thành lập công ty chứng khoán ngay lúc thị trường đỉnh cao.,209.09
220,đâu là nền tảng sinh học của ý thức,và tăng ca năng sinh sàn,88.89
221,tôi có thể xin một khác không,Tại bữa cơm nhấp xong chén rượu. Bảy đưa tuấn thấy anh bỉnh kêu đắng khó uống.,242.86
222,tôi đã từng chứng kiến bão và giờ đây tôi đang cộng tác tại nước ngoài,"Mà điện sán xuất lãi như vậy, có thấy IV đã động gì đâu.",100.0
223,có phí uống không,Anh có thích gặp nói chuyện sau không?,175.0
224,tôi đi hải phòng còn bạn đi đâu,một áp phích phim Ấn Độ.,100.0
225,ti vi giảm âm lượng về bốn,Tôi muốn đổi cái này lấy cái màu xanh.,128.57
226,cũng đồng nghĩa với việc chúng ta có thể sẽ chuốc lấy khổ đau,Làm ơn cho 1 ly dữ vang đó được không?,100.0
227,gần đây lại có vụ công ty xe khách thuận thảo ở bình định bị các đối thủ hùa nhau ngăn cản không cho hoạt động,"Hôm thứ Năm Úy ban bầu cử Thái Lan cho rằng, đảng của người Thái yêu người Thái đã phạm hai luật trong chiến dịch tranh cử vừa qua.",111.54
228,vâng tôi đã đến đây lần đầu tiên cách đây năm năm,Đi lên!,100.0
229,chành bành chằng chịt chỗ nào cũng có,tôi muốn một đôi ván trượt nước.,100.0
23,máy ném bom chiến lược của nga gặp nạn,"Ừ, bạn đứng không đúng băng truyền.",100.0
230,tôi có thể xem một bộ phim ở đâu,Con biết nịnh bố mỗi khi thích món đồ chơi nào đó.,133.33
231,cô ấy cần một bóng đèn bốn mươi oắt cho đèn để bàn,Bạn muốn uống loại rượu nào?,100.0
232,góa vợ hai con,"Tại cuộc họp Nguyễn Quốc bảo, khẳng đền, thời gian tới sẽ tập trung điều hành nhằm tháo gỡ khó khăn v4, cũng như thủ tục hành chính phục vụ sản.",775.0
233,trẻ em ở các trường học được cung cấp nước sạch để uống,Dùng thuốc ngay khi thức dậy buổi sáng.,100.0
234,làm ơn nối máy tôi với cảnh sát,"Ồ, không vấn đề gì...",100.0
235,đầu tư cho dự án xây dựng nhà máy sản xuất điện thoại di động tại đà nẵng,"Nhiều lần chị góp ý, ông xả đã hứa sẽ sửa lịch cho hợp lý xong. Chỉ được dăm bữa nửa tháng mọi việc lại đâu vào đấy.",150.0
236,vui lòng chuẩn bị cái này ở hải quan đằng kia chúc ở lại vui vẻ,Sống với em ăn nhé!,100.0
237,một dãy các tủ lạnh xếp dọc theo căn phòng,bạn đừng để mắt to hơn bụng.,100.0
238,ti vi giảm âm lượng về một,Còn gì ý nghĩa hơn với một tiền đạo khi ghi bàn quyết định thắng lợi cho đổi nhà trong ngày sinh nhật của mình?,342.86
239,không phải mặt hàng đó,Không thể xem lần vấp ngã ấy là tai.,180.0
24,anh có thích tôi giữ trước quyển sách này cho anh không,Ngân hàng phương Nam cũng một fan hú viế khi thông tin rủi ro tín dụng bị ro dĩ ra ngoài.,175.0
240,tảng đất thó hình lục lăng mát lạnh,Bắt đầu lúc mấy giờ.,100.0
241,đều tắc do ngập nước,Con quý vị bao nhiêu tuổi?,120.0
242,có phải tàu từ Sydney đến trễ không,Vui lòng mang cho tôi món khai vị.,100.0
243,tôi sẽ lấy phòng này,Lập trình viên đa số đều bị tâm thần.,180.0
244,nghỉ ngơi vài ngày,Tôi muốn thời gian đó quan sát và tư duy nhờ đó mà có ý tưởng điều chính nhịp đèn ânh tuấn chia sẻ.,600.0
245,họ có chiến thuật tốt hiệu quả và nhiều cầu thủ có kỹ thuật cá nhân điêu luyện,Mặc dù có vẻ ghê gớm bạn rất sợ bị tổn.,100.0
246,vui lòng vé B đi a,Nhà Hát mở cửa lúc mới giờ.,116.67
247,tôi muốn nhuộm màu,Vừa gọi điện vừa đi lại rất gây hại cho sức khỏe.,300.0
248,đồng xu bị kẹt ở đây,Tóm lượt sức khỏe ban đầu,100.0
249,một trong ba người này làm giám đốc một công ty sản xuất hàng hóa,Tôi muốn giữ nó dưới giá 30 đô la,100.0
25,ở người bị hội chứng khi ăn ngủ phần não phải vẫn thức và sau đó là cả các dạng hoạt động thể chất,bắt đầu đêm,100.0
250,sếu đầu đỏ xuất hiện tại tây ninh,Chích này dành riêng tổng thống mới đắc cử của Mỹ. Sát nhận đã chuyển tới mặt vụ Mỹ chiếc xe dành cho tổng thống mới để thay thế chiếc xe cũ.,400.0
251,quý vị có thể cử động khuỷu tay được không,Cướp bóc trong khi hỏa hoạn.,100.0
252,con đường dài lắm sao anh để em đi một mình,Nhưng tôi không muốn bạn tin tưởng vào bất kỳ điều gì.,109.09
253,chỉ cần gọi bất cứ lúc nào anh muốn nói chuyện với tôi,Không thể phút lờ làm phát.,100.0
254,trộm viếng thăm lấy hết đồ đạc trong nhà,Hoa nhận lời yêu thắng.,100.0
255,nó đau ở đây,Bóng đá anh hấp dẫn nhiều tỷ phú,200.0
256,nó rất ngon,Cắt tốt nhất là bằng xe bit.,233.33
257,cho nên mặc dù có chất lượng tốt nhưng giá thành của nó lại rất cao và khó ứng dụng rộng,cô ấy bị mất thể ngân hàng.,100.0
258,tiếng nổ ì ầm vang lên từ những âm thanh chứa thuốc nổ mà các thợ mỏ ném vào không khí,Tôi có thể tìm bán tin ở đâu?,100.0
259,chính vì vậy mà không khí tết dường như đến chậm hơn,Phòng thay đồ ở đằng kia.,100.0
26,tỉ lệ là mười mm trên một km,3 mẹ nghèo đông con,100.0
260,làm ơn cho tôi loại thứ hai,Sản phẩm phụ của máy rút tiền đầu tiên là má số bảo mật nhánh viết tắc là pin.,271.43
261,mưa sầm sập vừa ra ngoài trời quần áo chị lập tức ướt sũng,Tôi hy vọng thời tiết sẽ sớm sáng sũa.,100.0
262,bị đuổi việc vác dao truy sát ông chủ,Bản đường Kheo Cui Chó nhắc coi trừng ống khùng.,111.11
263,ngỗng cũng có khả năng ghi nhớ từ trước tới giờ giới khảo cổ vẫn tưởng rằng não của ngỗng chỉ có thể lưu giữ thông tin vài giây,Có rất nhiều yếu tố may rủi ở đây.,100.0
264,chuyện sản xuất của lão chủ tịch họ nguyễn và họ đỗ mãi mãi vào sử sách,Một dân tộc từng không có người từ Á sang Âu Ấn.,100.0
265,vậy còn yếu tố tinh thần thì sao,thuốc dịch có làm ít đực mất khả năng sinh sản.,137.5
266,tôi muốn đăng ký một chuyến bay từ Los Angeles đi New York khởi hành vào ngày mười lăm và quay về vào ngày mười ba,Bạn có thể bật máy điều hòa lên được không?,100.0
267,xin lỗi tôi có thể tìm một đại lý lữ hành ở đâu,Phải thuộc lạc,100.0
268,quí vị có phòng dành cho một đêm không,Chỗ cho thuê ghế bãi biện đã mở cửa chưa?,111.11
269,cô ấy đang rất mong anh,Anh chuẩn bị toa này cho tôi được không?,150.0
27,tôi muốn thực hiện một cuộc gọi điện thoại quốc tế đi nhật bản cuộc gọi -N là đến Tokyo số ba hai chín hai tám hai một một,Mẫu xe được trình lạng ở chiến lãm được giới truyền thông coi là hình. Mẫu của chiếc bôn cửa sẽ ra mắt vào tới.,96.55
270,có tiếng rì rào từ xa đến gần,Tôi muốn chào dội tiếng Tây Banh nhà của mình.,125.0
271,một số cổ động viên còn dùng những lời lẽ thô tục chửi bới lực lượng công an,,100.0
272,anh đem cho tôi một ít nước được không,Làm gì để bảo vệ sự an toàn của ngân hàng?,122.22
273,ti vi tăng tiếng đến sáu,Tôi đã bị lừa.,100.0
274,chúng tôi sẽ trả phòng khoảng giữa trưa,Vậy kế hoạch của ăn cho ngày mai ra sau.,125.0
275,honda đẩy mạnh sản xuất ở nước ngoài,Tôi uống từ voi nước được không?,100.0
276,ti vi giảm âm lượng về bẩy,Tết đầu tiên xa Việt Nam của cháu quả là ý nghĩa.,171.43
277,con lợn rừng nhảy xuống sông và trốn thoát,Nó có hướng dẫn sử dụng không?,100.0
278,tôi muốn một đôi giày thể thao,Có người còn không ngần ngại so sánh doanh thu phim Việt với các phim nhập của nước ngoài.,271.43
279,tôi cần nó trước thứ sáu,bạn có quan tâm đến đồ cổ không?,133.33
28,nơi đây hiện khá yên tĩnh,Anh mặc cái này trong rất đẹp,116.67
280,ta hãy nghỉ một chút,Tôi có thể hẹn cho chiều mai không?,160.0
281,tôi muốn mua bơ,"Bản báo cáo cũng chỉ rõ ở Việt Nam hiện nay những hủ tục hay những suy nghĩ cũ tồn, tại ở nhiều vùng dân tộc thiệu số thậm chí cả ở các tỉnh thành lớn đã khiến cho sự bất bình, đặng giới cũng như tỷ lệ tử vong ở phụ nữ, và trẻ nhỏ vẫn rất cao.",1475.0
282,hàng nghìn người trung á rời quê hương đến nga kiếm việc,cũng chẳng còn xuống sinh quần áo mới.,100.0
283,giá một dặm là bao nhiêu,Tôi đang tìm giam.,100.0
284,tôi có thể thanh toán cho nó bằng đồng yên nhật không,Một chỗ bí mật ở ý bạn là sao?,100.0
285,quý vị có bị đau họng các triệu chứng cảm lạnh hay cúm không,Chính sách quản lý cần cười mở.,100.0
286,một nghệ sĩ đích thực là phải lao động quần quật để mời gọi cảm hứng đến,Bệnh này có thường xảy ra không?,100.0
287,được tôi sẽ làm nó ngay,Quảu tay lái và đi vòng các góc.,133.33
288,thể dục chơi thể thao nơi không khí trong lành,trong làn ai cũng quý mến gia đình ăn phú.,100.0
289,ngoài vài sân bóng đá cầu lông mà chúng tôi mới làm lại thì hầu như chẳng có gì mới,ăn ấy đến từ Flanders,100.0
29,nhưng cũng có những bạn nằm khèo ở nhà trùm mềm và khóc nhè,chưa có thông tin về bệnh chết người ở nước này.,92.86
290,mệt,Nhiều bộ ông Hàn đá có dấu hiệu gấu gấu ngựa gấu chó sinh sống nánh.,1600.0
291,tổng số tiền là hai trăm bốn mươi ba pound thưa mẹ,Đây là địa chỉ của anh.,91.67
292,"hầu hết rừng nằm ở ven sông , biển nên đã -N -N","Xin lỗi, ông cho tôi lấy hóa đơn được không?",100.0
293,nhìn nó vậy mà giỏi nhỉ,Các mảnh có dìa sắc được tha vào cán gỗ và gắn chặt bằng nhựa thông.,266.67
294,tôi có thể nói mấy câu được không,Vui lòng không bỏ đồ quý giá trên toa hành khách.,137.5
295,tuy nhiên các nhà khoa học châu âu vẫn chưa vừa ý với kết quả này,Người mẫu phải tập tanh trên diễn quân quật đến tận khuya.,100.0
296,tám tổ chức công đoàn ở đức tạo thành liên đoàn lao động đức,Được rồi chút nữa tôi sẽ mark set cho ngài chỗ khác.,100.0
297,nói chuyện trịnh trọng nghe ghê quá,Không lẽ ước nguyện đó của tôi lại khó đến thế sau.,171.43
298,tôi muốn nửa tá,"Thời gian, đóng ma làng cả đoàn phim sống vài tháng trời trên vùng núi Lương Sơn Hoa Bình.",475.0
299,tôi cần một cái gì đó cho táo bón,Nhiều chủ cột và các mặt vứa đều mục ruốn.,111.11
3,anh có thể gọi tôi không,Có giảm giá cho người cao nên không?,133.33
30,chúng ta không thể mua cái nào ở nhật bản,Sắm đồ siêu sang ở hội trợ chiều phú.,100.0
300,vâng Dave Mark Sachiko và Rumi sẽ có ở bữa tiệc,Xin chào gia đình Tanaka.,100.0
301,tình hình ở nước anh thì ngược lại phe nào phe nấy thi nhau đả kích thủ tướng của mình,làm nơi nấu nướng giặc dũ,100.0
302,phòng có máy lạnh không,"Anh lắng, nghe tôi một phút được không?",160.0
303,họ thoải mái với việc người bạn đường phải núp trong,Khách tham quan cũng tranh thủ ngồi vào ghế hành khách để thử đồ em nhúng.,145.45
