id,ground_truth,XTTS,wer
122,mở,M abbreviation Meeting,300.0
123,độc giả của tôi muốn hướng tới là sinh viên và trí thức,Đọc xa của tôi muốn hướng tới là xin viên và chỉ thức.,38.46
124,không mở cửa ồ ạt,Hôm nay bao Argh?,100.0
125,tôi muốn đổi cái này lấy cái màu xanh,Tôi muốn nổi cái này lấy cái màu xanh,22.22
126,sống với em anh nhé,üğ р será Representative Nresident Phrection,120.0
127,vừa gọi điện vừa đi lại rất gây hại cho sức khỏe,Vừa gọi điện vừa đi lại rất gây hại cho. Sức khỏe!,33.33
128,tôi có thể tìm bảng tin ở đâu,Tôi có thể tin bản tin ở đâu?,50.0
129,anh chuẩn bị toa này cho tôi được không,"Anh chuẩn đi, tự hào này cho tôi được không?",55.56
13,tôi có thể hẹn cho chiều mai không,Đ bulk à? Đopic hat cho Ç錦 sanctions Ch boug của im Ch Toronto,162.5
130,đây là địa chỉ của anh,Đây là... Địa Chí Qua Anh,100.0
131,anh lắng nghe tôi một phút được không,Anh là mẹ tôi một phút được không?,50.0
132,lạm phát tăng là do dự báo yếu kém,Làm v sự Miles Th Tucson S dai sements làm Speech Mnek S faucet the,166.67
133,thịt gà nhồi hỗn hợp băm nhỏ,thịt đạn rView còn hợp mgeschm ¿Ồm nhau? M suppress Sao?,128.57
134,trung tá nguyễn phả lại cán bộ quản giáo trực tiếp buồng số bảy chỗ ở của ông mẫu ông dũng nói kín kẽ cũng là tâm lý của người cải tạo loại án như trường hợp ông dũng,"Chúng ta muốn phải lại cán bộ quản giáo trực tiếp. Buồn số 7 chỗ của ông Mẫu, ông Dụng nói kiếm kẻ cũng là tâm lý của người kể tạo loại án như trường hợp ông Dụng.",35.9
135,kí túc vắng tanh đèn thoát hiểm nhấp nháy chập chờn cứ như trên phim được xem ý,"Kỳ túc vắng tăng đèn thoát hiểm nhấp nhảy, chậm chọn cứu như trên phim được xem ý.",38.89
136,mở,"Mở, demographic,테 birimствие que sponsors Dov sisters and our colleagues, Mở đ Sicht mạng,",1400.0
137,tốt nhất anh không nên làm nó,Th carbono Đồm nhật Eng là 토 nên Nên là nó,128.57
138,tôi có thể mua vé ở đâu,tôi có cạy mua và,57.14
139,vậy điều gì ủng hộ ý tưởng táo bạo trên,Vậy điểu gì ủng hộ ý cơm đảo bão trên nơi này?,70.0
14,anh rửa hình kỹ thuật số ra được không,Anh nhìn dựa hình kỹ thật số sẽ được không?,66.67
140,họ sẽ chơi nhiều ca khúc từ bộ phim âm thanh của âm nhạc,Họ sẽ chơi nhiều ca hút Để bộ phim âm thêm quả âm nhạc,35.71
141,mã vùng của Plymouth là không một bảy năm hai,Mạ vùng của hãi miss là không một bệnh em hãi.,60.0
142,không tôi luôn tỉ mỉ,không tối luardi mi,80.0
143,một số trò chơi đòi hỏi các động tác chậm thận trọng hãy từ từ,Một số trò chơi đời hỏi các động tác chận thận trọng hãy từ từ.,26.67
144,có nên ưu tiên cho các hoạt động bí mật,Còn... nên yêu tiền cho cơ hạt đồng bí mật.,70.0
145,nó là của anh,"Nào, lạc và ảnh.",100.0
146,-N lỗ mũi hẹp -N có tài kiếm tiền,"Em lâu mỗi hẹp em gọi, thay kiểm tiền.",88.89
147,đây là ghi chép cho phí nào,Đấy là lý chép chờ phía nào?,71.43
148,tôi bị các triệu chứng viêm phổi,stew i beats out su met la,100.0
149,còn bao nhiều giờ thì chúng ta sẽ đến New York,"Còn bao nhiêu sợ thì chúng ta sẽ đến, nêu yếu?",54.55
15,tôi cố thu xếp thôi,... Đạiputer tránh today ...,100.0
150,thị trường chính thức kém sôi động nên thị trường phi tập trung cũng ê ẩm,Thị trường chính thức kém xôi đạo nên thị trường phí tập trung cũng em.,37.5
151,chúng tôi đã thuê căn hộ,chúng tôi đã thuyết cân hộ.,50.0
152,mở lên,th 위에 übrig 2013han này,250.0
153,cuộc tình đó tồn tại cho tới ngày cô ta -N khối tài sản mà ông giao phó rồi biến mất tăm,"Cuộc tình nó tồn tại cho tới, này của ta em hồi tài sản mà ông nào phó, rồi biến mất tâm.",45.45
154,xin vui lòng hãy sẵn sàng vào lúc chín giờ rưỡi,Xin vui lòng hãy sẵn sàng vào lúc 9 giờ dưới.,27.27
155,tôi không nghĩ như vậy,sometimes you call me I loved you,140.0
156,cách dễ nhất là tìm người khác để yêu,Cái sĩ nhất là tim người khác để yêu anh.,44.44
157,hãy tận dụng những gì có sẵn từ thiên nhiên để làm đẹp làn da,"Hãy tan sụng những gì có sẵn, từ thiên nhiên để làm đẹp lan ra.",40.0
158,cô lấy cho tôi cái khăn nào,"Bồ lý, chờ, đôi kế hân nào?",100.0
159,lối đánh tấn công quen thuộc của chị biến mất thay vào đó là những đường bóng yếu ớt,"Lối đánh tấn công quen thuộc của chị biến mất, thay vào đảo là niễn đường bong yếu ớt.",31.58
16,tôi không dùng ma túy,Đ百 t restrictive,100.0
160,tôi có thể có bản đồ đường đi của đảo Maui không,Tôi có thể có bàn đồ đường đi của đào môi yêu nân o.,58.33
161,tôi bị suyễn,Đ classy Mเป ph мон?,166.67
162,thành ra càng cổ phần hóa ồ ạt càng bán giá nội bộ ồ ạt trừ phi có sẵn một cơ chế kiểm soát,"Thành ra căng cổ phân hóa, OAD cầm bán giá nội bộ OAD, chứ phi có sẵn một cơ chế kiểm soát.",45.83
163,nền tài chính nhật bản phụ thuộc khá lớn vào các chính sách tiền tệ của mỹ,"Nên tại 9.1, phụ thuộc Hà Lương vào cả chính sách tiền tệ của Mỹ.",52.94
164,anh cất hành lý này cho tôi được không,Anh cất hành lý này cho tôi được không?,22.22
165,Obon nghĩa là gì,Âu phát mình... ... Nhự hcile à... ... Yiè? 지ô刻 Tak,275.0
166,tăng nhiệt độ lên hai mươi chín độ,"Đang nhỉ à? Đang nhệt đồ, linh hay mưu chiến đồ.",137.5
167,kênh sáu,game song,100.0
168,phờ phạc sau hành trình dài,"Phô phát sâu hành chim, dạy.",83.33
169,mười hai giờ mười lăm rồi,Mùi hãy dở mùi lâm xôi.,100.0
17,quân đội mỹ muốn chế tạo những máy tự động hoàn toàn vì những chiếc mà họ đang có vẫn cần được điều khiển bởi con người,"Quân đội Mỹ muốn chế tạo những máy tự động hoàn toàn với những chiếc, mà họ đang có vẫn cần được điều khiển về con người.",22.22
170,tiêu cực ương ngạnh,Vì sao S multiplic pozw t实. Cjay lo sất các psychological giving an account,350.0
171,tuy nhiên hôm qua ông đã phá lệ,"Tr Sherry, why don't you get home later?",100.0
172,phát triển,F麌 Ahh F,150.0
173,cái xác cứ thế khô dần cho đến hôm nay,Cái xa cứ thể hùa dần cho đến hôm nay.,50.0
174,ti vi VTV hai,Đ,100.0
175,nhóm cho rằng điều đó chứng tỏ phụ nữ tập trung hơn vào ngôn ngữ của sự hài hước,"Nhóm cho rằng điều đó, chúng ta phụ nữ tập trung hơn vào môn nữ của sự hài hước.",36.84
176,phòng quá ồn và tôi không thể ngủ được,"Phòng quá, ôn, và tôi không thể ngủ được.",44.44
177,những lãnh đạo cấp cao đang phải đối mặt với việc giảm lương đến mức nào hiện vẫn chưa rõ,"Những lãnh đạo cấp cao đang phải đối mặt, với việc xảm lương đến mức nào hiện vẫn chưa rõ.",20.0
178,xe mỹ từng là biểu tượng giàu sang,Xem mỹ từng là biểu tượng dầu xe,37.5
179,bữa ăn sinh viên từ lâu đã đơn giản lắm rồi giờ càng đơn giản hơn bao giờ hết,"Buôn sinh viên từ lâu đã đơn giản lắm, xôi sợ càng đơn giản hơn bao sợ hít.",36.84
18,tôi quên túi đeo vai trong xe tắc xi,Tôi quên tuổi đều vài trong sế tắc xí.,66.67
180,bệnh này có thường xảy ra không,"Bây giờ turnaround, lại các thùng ci нес,",114.29
181,anh có đang thấy cầu vồng không,"Anh, cöi nó呀. Đùng tLR shirt một 하는데 đpayers tôi ch uğ nhé.",185.71
182,họ phải đảm bảo có đủ vắc xin và thực hiện các biện pháp cần thiết khác để đối phó với tình hình,họ phải đảm bảo có đủ vắc xin và thực hiện các biện pháp cần thiết khác để đối phó với tình hình.,4.35
183,anh gọi đánh thức tôi lúc bảy giờ sáng mai được không,Anh gọi đánh thức tôi lúc bây giờ sẵn mai được không?,33.33
184,tự đăng cáo phó cho mình,Tụt đến đoàn phá! Ch mercy!,100.0
185,anh thích kiểu nào hơn,... lashes bỏ không fllen vậy nha h discrimin的人,180.0
186,ánh đuốc hắt lên khoanh cổ cụt đỏ hỏn hụt hẫng,Anh đước hết lên khoanh cổ cụt đảo hờn hận?,63.64
187,xin lỗi anh có thể -N lĩnh tiền mặt cái này không,"Xin lỗi anh, gọi hề nè, lĩnh điên mật kế này không?",75.0
188,cảnh sát biết rằng có một nhóm bí mật hoạt động bất hợp pháp,Cảnh sát biết rằng có một nhóm bí mật hoạt động bất hợp pháp.,14.29
189,thiết bị còn gửi thông điệp cảnh báo tới người chủ khi pin sắp hết,"Khi bị còn người thông điệp, cành bão, tới người chủ khi pin sắp hết.",40.0
19,dư luận đã phản ánh lên cơ quan địa chính của thị trấn nhưng mãi chả thấy hồi âm,"Du luận đã phản ánh lên cơ quan địa chính của thị trấn, nhưng mãi trả thấy hồi âm.",21.05
190,xin vui lòng cứ mang giày,Xin là... Tôi restrictions missions,100.0
191,tôi không biết chắc là có tai nạn,contrat opensifaisa torca homemade chip läca dehnen,100.0
192,tao nhanh đến mức nào,Tao nhanh đi mức nào,40.0
193,bữa tiệc sống động -N,"Đертвåtical.. sawm, đậm ngã, Ave elect Khi deck dingrat shit itound importante tài h ﷺ Đ USS",340.0
194,vậy còn yếu tố tinh thần thì sao,"Vậy, còn yêu tổ tinh thần thì sao?",50.0
195,cái này trên tầng ba,Cái nãy chuyên tâm bạc,100.0
196,chuyến bay của anh khi nào,Ch 有 ơn mọi người quên Avatar Quyên benevolent,150.0
197,không không phải có bàn trống cho hai người không,Không.. không phài các..... .... bgreen cho..... showcase人....,90.0
198,tôi có thể có một tờ tạp chí khác không,Tôi có thể có một đợp chỉ hả hông?,60.0
199,bán cho tôi một vé hạng hai đến chermarn,"Bán cho tôi một phê hạ, hay đến che mò lên che mạc.",100.0
2,họ đã xét nghiệm máu cho cheng nhưng mọi thứ vẫn hoàn toàn bình thường,Họ đã xét nhiệm máu cho chen như mọi thứ vẫn hàn toàn bình thường.,40.0
20,giả danh làm từ thiện lừa tiền người dân,Xả xanh năm từ thiện luộc tiên nổi sân.,77.78
200,Jerry đây là Jack làm ơn gọi cho Edith,Cherry Daily Check Lâm ơn gọi cho edit,66.67
201,tất cả những gì nước mỹ làm chỉ đơn thuần là vì muốn sở hữu những nguồn tài nguyên quý giá của các quốc gia đó,"Tất cả những gì nước Mỹ làm chỉ đơn thân là về muốn sợ hiệu, những muốn tài nguyên quý giá của các quốc gia đó.",30.77
202,chúng sở hữu tiếng thét chói tai và rất thích nhảy nhót,chúng sợi tiến thế trời tay và rất thích nhảy nhót.,58.33
203,tưởng dễ đẻ trứng vàng nhiều đơn vị ùn ùn xin thành lập công ty chứng khoán ngay lúc thị trường đỉnh cao,"Tưởng dễ hẻ chúng và nhiều đơn vị ủn ồn. Xin thành là công ty trường hoán, nay lúc thị trường định cáo.",56.52
204,ừ bạn đứng không đúng băng chuyền,"Ư bản, đứng hồng đúng băng chuyên.",57.14
205,ngân hàng phương nam cũng một phen hú vía khi thông tin rủi ro tín dụng bị rò rỉ ra ngoài,Nên hàng phương nam cũng một phen hố via. Khi thông tin dùi do tín sụp bị do gì ra ngoài.,47.62
206,bà mẹ nghèo đông con,Bẹ mẹ nhẹo đừng con,60.0
207,mẫu xe được trình làng ở triển lãm được giới truyền thông coi là hình mẫu của chiếc bốn cửa sẽ ra mắt vào tới,Mẫu xe được trình là người chuyển lãm được giới truyền thông. Coi là hình mẫu của chức bún cửa sẽ ra mắt vào tới.,36.0
208,anh mặc cái này trông rất đẹp,Anh là... là cái này trông rất đẹp.,57.14
209,chưa có thông tin về bệnh chết người ở nước này,"Chưa có, thông tin thấy bệnh chết người ở nước này.",36.36
21,sắm đồ siêu sang ở hội chợ triệu phú,Sẵn đồ siêu sàng ở hồi trả chiều phú?,66.67
210,cho tôi bản đồ thành phố được không,Chờ tôi bán đồ thánh phố được không?,50.0
211,đều không quan trọng,Đều không quen chẳng,75.0
212,có lúc họ đút hai tay trong túi hai vai rụt lại mà đi có lúc đánh tay thoải mái ưỡn ngực,"Có lúc họ đút hai tay trong túi hai vai sụt lại, mà đi có lúc đánh tay thoải mái ữa nực.",22.73
213,tôi bị ung thư,T beginner cũng có mộtáticas,125.0
214,tôi không thể hiểu bạn,Đôi hôm nay hiểu ban.,80.0
215,tôi cảm thấy rất nặng nề tôi không thể di chuyển chân của tôi,"Tôi cảm thấy, sất nặng này tôi không thể di chuyển chân của tôi.",35.71
216,tình yêu là mù quáng người đang yêu không thấy khuyết điểm của người khác,Tình yêu là mù quảng người đang yêu không thể khuyết điểm của người khác.,26.67
217,phát tờ rơi quảng cáo biến thành rác đô thị,Phát tở rơi quản cáo biến thành giác đồ thị.,60.0
218,cô ấy có thính giác ảo,"Quỳ, mình Verantwortung",100.0
219,đôi khi trong các khẩu súng các em mang trên người không hề có đạn -N chỉ là một thứ hù dọa những,"Đôi khi trong các hậu súng các em là trên người không hề có đạt nên, chỉ là một thứ hù giải niệt nên.",34.78
22,nếu làm lộ thiên cơ âm binh sẽ đánh trả thầy,"Nếu à, Mầu Kiên Cơ, âm bình sẽ đánh trà thay.",72.73
220,đâu là nền tảng sinh học của ý thức,Để tôi là nền tán sinh học của ý hức?,44.44
221,tôi có thể xin một khác không,"Đôi gó, thế là sinh môn, khá không?",114.29
222,tôi đã từng chứng kiến bão và giờ đây tôi đang cộng tác tại nước ngoài,"Tôi đã từng chứng kiến bão và giờ đây, tôi đang cộng tác tại nước ngoài.",18.75
223,có phí uống không,Ga Phi Uon Hôm,100.0
224,tôi đi hải phòng còn bạn đi đâu,Tôi đi hãy phòng con đạn đi nêu.,62.5
225,ti vi giảm âm lượng về bốn,B-V-SAM. Em biếtえる five people.,100.0
226,cũng đồng nghĩa với việc chúng ta có thể sẽ chuốc lấy khổ đau,cũng đồng miễn với việc chúng ta có thể sẽ trúc lấy khổ đau.,21.43
227,gần đây lại có vụ công ty xe khách thuận thảo ở bình định bị các đối thủ hùa nhau ngăn cản không cho hoạt động,"Gần đây lại có vụ công ty xe khách cận thảo ở Bình Đị, bị các đối thủ hồi nhau ngăn cản, không cho hạt động.",30.77
228,vâng tôi đã đến đây lần đầu tiên cách đây năm năm,"Vâng, tu đã đến đây lần đầu tiên khai đây 5 năm",33.33
229,chành bành chằng chịt chỗ nào cũng có,"Chành bệnh chân trịt, chỗ nào cũng có.",62.5
23,máy ném bom chiến lược của nga gặp nạn,"Mấy, nèm, bông chìa lược của ná hấp nạn.",77.78
230,tôi có thể xem một bộ phim ở đâu,Tôi có thể xem một bộ phim ở đâu,11.11
231,cô ấy cần một bóng đèn bốn mươi oắt cho đèn để bàn,Cô ấy cần một bóng đen 40 ốc cho đen đi bàn.,61.54
232,góa vợ hai con,"L рублей các anh, nó l� cho về đây",225.0
233,trẻ em ở các trường học được cung cấp nước sạch để uống,Chẻ em ở các trường học được cung cấp nước sạch để uống.,15.38
234,làm ơn nối máy tôi với cảnh sát,"Làm ơn nói mấy, tôi về cạnh xa.",75.0
235,đầu tư cho dự án xây dựng nhà máy sản xuất điện thoại di động tại đà nẵng,"Đầu tư cho sự án xây dựng, nhà mấy sản xuất điện thoại di động tại Đaná.",33.33
236,vui lòng chuẩn bị cái này ở hải quan đằng kia chúc ở lại vui vẻ,Mui lòng chuẩn bị cái này ở hải quan đằng kia chút ở lại vui vẻ.,18.75
237,một dãy các tủ lạnh xếp dọc theo căn phòng,Một dậy cắt đồ lạnh xét dọc theo gần phòng.,70.0
238,ti vi giảm âm lượng về một,"Tìm, vi, sơ chè, âm lư âm mềm mốt.",114.29
239,không phải mặt hàng đó,"Vì vậy, den... N taught... 2008",120.0
24,anh có thích tôi giữ trước quyển sách này cho anh không,Anh có thích tôi giữ trước quyền sạch này cho anh hông?,33.33
240,tảng đất thó hình lục lăng mát lạnh,College Hazard Copyright SIP,100.0
241,đều tắc do ngập nước,"Biên u theta,ch<|it|> unwilling to",100.0
242,có phải tàu từ Sydney đến trễ không,Có phải đau để sết mì đến chảy hôm.,87.5
243,tôi sẽ lấy phòng này,Tùy sẻ lấy phong này,60.0
244,nghỉ ngơi vài ngày,Ni noi…) …fyn Mighty.,100.0
245,họ có chiến thuật tốt hiệu quả và nhiều cầu thủ có kỹ thuật cá nhân điêu luyện,họ có chính thần đất hiệu quả và nhiều cầu thủ có kỹ thần cái nhân điều liên.,38.89
246,vui lòng vé B đi a,Vội l immedi maps Đ withdrawal,100.0
247,tôi muốn nhuộm màu,T Pentagon programmer,100.0
248,đồng xu bị kẹt ở đây,Đồng sư bị kết ở đây,50.0
249,một trong ba người này làm giám đốc một công ty sản xuất hàng hóa,"Một trong ba người này làm giám đốc, một công ty sản xuất hàng hóa.",20.0
25,ở người bị hội chứng khi ăn ngủ phần não phải vẫn thức và sau đó là cả các dạng hoạt động thể chất,"Ở người bị hội chứng khi ăn mũ phần áo vài viện thức, và sau đó là cả các sạn hoạt động thấy chất.",37.5
250,sếu đầu đỏ xuất hiện tại tây ninh,Siêu đồ đỏ xuất hiện tại Tây Ninh.,50.0
251,quý vị có thể cử động khuỷu tay được không,Quy vцы och té i gudel fired witches Za momentum,100.0
252,con đường dài lắm sao anh để em đi một mình,"Con đường là nhạy em, sau anh đi em đi mùi mình.",72.73
253,chỉ cần gọi bất cứ lúc nào anh muốn nói chuyện với tôi,Chỉ cần gọi mất cứu lúc nào. Anh muốn nói chuyện với tôi?,46.15
254,trộm viếng thăm lấy hết đồ đạc trong nhà,Chộn viên thăm lý hết đồ đạch trong nhà.,55.56
255,nó đau ở đây,Thả thế là cái đứa đ bán,175.0
256,nó rất ngon,"Nào à? Nè rì? Nè mè hì? Chờ mê, nát cho môn!",400.0
257,cho nên mặc dù có chất lượng tốt nhưng giá thành của nó lại rất cao và khó ứng dụng rộng,"cho nên mặc dù có chất lượng tốt, nhưng giá thành quần nó nãy rất cao và hồi nụng dộng.",33.33
258,tiếng nổ ì ầm vang lên từ những âm thanh chứa thuốc nổ mà các thợ mỏ ném vào không khí,"Tiếng nổ y ạm vang lên từ những âm thanh trở thúc nổ, mạc các thợ mò ném vào khung khí.",47.62
259,chính vì vậy mà không khí tết dường như đến chậm hơn,"Chính vì vậy, mà hôn khí tết dường như thế này chạm hơn.",58.33
26,tỉ lệ là mười mm trên một km,"Tí lấy là môi mì mì, 100 km.",87.5
260,làm ơn cho tôi loại thứ hai,"Làm ơn, chào tối lại lại.",100.0
261,mưa sầm sập vừa ra ngoài trời quần áo chị lập tức ướt sũng,"Mưa sầm sập, vừa ra ngoài trời quần áo, chị lập thức ớt sụm.",42.86
262,bị đuổi việc vác dao truy sát ông chủ,bị đuổi việc vác ra ở trị xá ông chủ.,55.56
263,ngỗng cũng có khả năng ghi nhớ từ trước tới giờ giới khảo cổ vẫn tưởng rằng não của ngỗng chỉ có thể lưu giữ thông tin vài giây,Nỗm cũng có hả năng ghi nhớ từ trước tới giờ giới khảo cổ vẫn tưởng rằng nã hồn mộm chỉ có thể lưu dữ thông tin vài giây.,24.14
264,chuyện sản xuất của lão chủ tịch họ nguyễn và họ đỗ mãi mãi vào sử sách,Chuyện sản xuất của lá chụt tịch Hồng Nguyễn và họ đổ mãi mãi vào sự sách.,47.06
265,vậy còn yếu tố tinh thần thì sao,Vậy còn... Yếu đủ tinh thân thì sao?,75.0
266,tôi muốn đăng ký một chuyến bay từ Los Angeles đi New York khởi hành vào ngày mười lăm và quay về vào ngày mười ba,"Tôi muốn đăng ký mùa chuyến bay từ Los Angeles đi New York, hổi hành vào ngày 15 và quay về vào ngày 13.",30.77
267,xin lỗi tôi có thể tìm một đại lý lữ hành ở đâu,"Xin lỗi, tôi có thể tìm một đại lý lứa hay nữa đâu.",46.15
268,quí vị có phòng dành cho một đêm không,"Quỷ, phía có phong lành cho một đêm không?",55.56
269,cô ấy đang rất mong anh,K位 đang sợp ngọn E,83.33
27,tôi muốn thực hiện một cuộc gọi điện thoại quốc tế đi nhật bản cuộc gọi -N là đến Tokyo số ba hai chín hai tám hai một một,Tôi muốn thực hiện một cuộc gọi điện thoại quốc tế đi Nhật Bản của gọi N là đến Tô Kiều số 329-28211.,51.72
270,có tiếng rì rào từ xa đến gần,"Cơ, tiếng gì dạo từ xây đến gần?",62.5
271,một số cổ động viên còn dùng những lời lẽ thô tục chửi bới lực lượng công an,"Một số cổ động viên còn dung những lời lẽ, thốt tục trùi bởi lịch lượng công hành.",44.44
272,anh đem cho tôi một ít nước được không,Anh đem chả tôi một ít nước được không?,33.33
273,ti vi tăng tiếng đến sáu,"tỵ, vi, tâm nở, tiêm, đến, xảo",116.67
274,chúng tôi sẽ trả phòng khoảng giữa trưa,Chúng tôi sẽ trả phong hoán giữa trưa.,50.0
275,honda đẩy mạnh sản xuất ở nước ngoài,"Ha Da Đ detect Sansstart? À ho, nuेc mei",112.5
276,ti vi giảm âm lượng về bẩy,V Hurry Up,100.0
277,con lợn rừng nhảy xuống sông và trốn thoát,toàn lợn dưng nhảy xuống xong và chuốn thất.,55.56
278,tôi muốn một đôi giày thể thao,Tây muốn một đôi sai thầy tháo,57.14
279,tôi cần nó trước thứ sáu,"Mr. pá,<|vi|> pesos tuy Mickey.",100.0
28,nơi đây hiện khá yên tĩnh,"Nơi đây hiện thả, yên tính.",50.0
280,ta hãy nghỉ một chút,Đã Alliance características,100.0
281,tôi muốn mua bơ,Tùy muôn mùa bờ.,100.0
282,hàng nghìn người trung á rời quê hương đến nga kiếm việc,"Hàng em nổi chung á, sợi quay hương để ngã kiến việc.",91.67
283,giá một dặm là bao nhiêu,"Dạ, mồt chấm là bờ nhốt.",83.33
284,tôi có thể thanh toán cho nó bằng đồng yên nhật không,"Tôi có thể thêm tỏa anh cho nó, màn đùng ít nhật không?",75.0
285,quý vị có bị đau họng các triệu chứng cảm lạnh hay cúm không,Quý vị có bị đau họ? Đã trợ chúng cảm lạnh hay cũng không?,50.0
286,một nghệ sĩ đích thực là phải lao động quần quật để mời gọi cảm hứng đến,Một nệ sĩ thức là phải lá động quân quân để mồi gọi cảm hứng đến.,52.94
287,được tôi sẽ làm nó ngay,Được tôi sẽ làm nó ngay.,33.33
288,thể dục chơi thể thao nơi không khí trong lành,"Thể dục, trôi thể theo nơi không khí trong lạnh.",50.0
289,ngoài vài sân bóng đá cầu lông mà chúng tôi mới làm lại thì hầu như chẳng có gì mới,"Mùi vài sân bóng đá cầu lông, mà chúng tôi mới làm lại kêu như chẳng có gì mới.",25.0
29,nhưng cũng có những bạn nằm khèo ở nhà trùm mềm và khóc nhè,Nhưng cũng có những bạn... ...nằm khéo ở nhà chung mềm đã. Hầu ngày.,57.14
290,mệt,iyi Approaches êtes씬 enemy Harmonاء phuchen T Til rồi nh critic xinh warmth,1300.0
291,tổng số tiền là hai trăm bốn mươi ba pound thưa mẹ,Đồng sụ tiên là hay chăm bộ mi bạp hào thưa mẹ.,83.33
292,"hầu hết rừng nằm ở ven sông , biển nên đã -N -N",Hồi hên tôi ch富 một l ailurt scratchesviouslyiser as of nay,100.0
293,nhìn nó vậy mà giỏi nhỉ,Nounced,100.0
294,tôi có thể nói mấy câu được không,Tuy có thể nói mấy câu được không?,25.0
295,tuy nhiên các nhà khoa học châu âu vẫn chưa vừa ý với kết quả này,"Tuy nhiên, các nhà hoa học châu Âu vẫn chưa vừa ý với kết quả này.",31.25
296,tám tổ chức công đoàn ở đức tạo thành liên đoàn lao động đức,"8 tuổi trước, công đoàn ở Đức tạo thành liên đoàn lao động Đức.",35.71
297,nói chuyện trịnh trọng nghe ghê quá,"Nói chuyện, chị chào mẹ rơi quà.",100.0
298,tôi muốn nửa tá,đởi magical,100.0
299,tôi cần một cái gì đó cho táo bón,Tôi cần một cái sĩ đảo à? Chờ tạo bọn.,77.78
3,anh có thể gọi tôi không,...â enjoymentто thể gọi lighthouse,66.67
30,chúng ta không thể mua cái nào ở nhật bản,Chúng ta không thể mua cái nào ở Nhật Mản,30.0
