id,ground_truth,F5-TTS-b,wer
156,cách dễ nhất là tìm người khác để yêu,Chá về từ Questionelectrical M,100.0
157,hãy tận dụng những gì có sẵn từ thiên nhiên để làm đẹp làn da,Pistalım này chore,100.0
158,cô lấy cho tôi cái khăn nào,spec tưởng mà hứng lượng XV kị vụ ch mayor,142.86
159,lối đánh tấn công quen thuộc của chị biến mất thay vào đó là những đường bóng yếu ớt,Mandat hti refill,100.0
16,tôi không dùng ma túy,Bench oft hide vai in hiding spell month,160.0
160,tôi có thể có bản đồ đường đi của đảo Maui không,Khi xa sản đần đầm đầy bình bị lân tích niềm kìa.,100.0
161,tôi bị suyễn,"Chà chưa biết ש resol sĩ có, có sao đừng mass樓 làmspace Observer đang đấtratingos kinh sinh relativity con và vậy về",733.33
162,thành ra càng cổ phần hóa ồ ạt càng bán giá nội bộ ồ ạt trừ phi có sẵn một cơ chế kiểm soát,"Blak-145, 快逃 really Cesіб",100.0
163,nền tài chính nhật bản phụ thuộc khá lớn vào các chính sách tiền tệ của mỹ,N discharge basis doit cho illustrates bí iste amenan ...,100.0
164,anh cất hành lý này cho tôi được không,"Sẽ yếu sẽ cây cây là cân, giờ nãy cơ la",122.22
165,Obon nghĩa là gì,cao out ch Zoe,100.0
166,tăng nhiệt độ lên hai mươi chín độ,"Tụi cây kênh 5i, bye bye cà.",100.0
167,kênh sáu,Ngay phimแ khрет với anh đ Está đoán con lose của Sharp 3 chấuess của bweder,800.0
168,phờ phạc sau hành trình dài,Nam caolünh ở làng Đ occupy.,100.0
169,mười hai giờ mười lăm rồi,"C 해� 노�, Hạ virgin hê Quang",116.67
17,quân đội mỹ muốn chế tạo những máy tự động hoàn toàn vì những chiếc mà họ đang có vẫn cần được điều khiển bởi con người,務 nhi ViktorTy œ Romanian,100.0
170,tiêu cực ương ngạnh,antinggartadio đã doub chắc của Itísад Прếterior,175.0
171,tuy nhiên hôm qua ông đã phá lệ,Hoiban là trị bình trí được dẫn lại bầu v sulla trong the,162.5
172,phát triển,Qu nucleus,100.0
173,cái xác cứ thế khô dần cho đến hôm nay,M bege giải las yüzden chăm sóng fades với k 적이 handicraft-initial-enrollings property lанием để các th regime không mở tụt đishops works để chiếc b nok sinh không l declaration,310.0
174,ti vi VTV hai,Đê ô aston coke cam bà Fam,175.0
175,nhóm cho rằng điều đó chứng tỏ phụ nữ tập trung hơn vào ngôn ngữ của sự hài hước,Cố có trái man non vừa kịp phím tổ đoạn tược.,100.0
176,phòng quá ồn và tôi không thể ngủ được,Lên S apply亞 Down drive 15 Như Cho Ba đại nhiều anh si th Dorothy and thở,188.89
177,những lãnh đạo cấp cao đang phải đối mặt với việc giảm lương đến mức nào hiện vẫn chưa rõ,Chìdollarbel pouring righteous wind và seperti recipe 5ентыender the inh Unfortunately very good,100.0
178,xe mỹ từng là biểu tượng giàu sang,ok skullcap.téral,100.0
179,bữa ăn sinh viên từ lâu đã đơn giản lắm rồi giờ càng đơn giản hơn bao giờ hết,скаж là trì hình trách욱 item상을 tưởng tượng,100.0
18,tôi quên túi đeo vai trong xe tắc xi,Tôi đám đعل em nok là gần m vocress soVIi oil o admitted people.,155.56
180,bệnh này có thường xảy ra không,N agility almost olm means,100.0
181,anh có đang thấy cầu vồng không,Đ stalk h vitesse,100.0
182,họ phải đảm bảo có đủ vắc xin và thực hiện các biện pháp cần thiết khác để đối phó với tình hình,"Chào chào mừng lại với kinh tự bà của tài sâu kỳ, lô tâm kinh lắm visa. Hẹn gặp lại, chào chào.",100.0
183,anh gọi đánh thức tôi lúc bảy giờ sáng mai được không,Xin chào các bạn và hẹn gặp lại video này.,100.0
184,tự đăng cáo phó cho mình,M Vinτί để,100.0
185,anh thích kiểu nào hơn,"Hola, B vị trung Wen! N personalized!",140.0
186,ánh đuốc hắt lên khoanh cổ cụt đỏ hỏn hụt hẫng,Vậy thì...,100.0
187,xin lỗi anh có thể -N lĩnh tiền mặt cái này không,Tow Thái Sky Hong Nam Ng measure cape bin Thee New York,100.0
188,cảnh sát biết rằng có một nhóm bí mật hoạt động bất hợp pháp,"Si gái này hôn, tổng tròi dây cầm về lại đăng phim trảm biếm nắp đào trường lĩnh kì.",135.71
189,thiết bị còn gửi thông điệp cảnh báo tới người chủ khi pin sắp hết,Nếu symb Làm,100.0
19,dư luận đã phản ánh lên cơ quan địa chính của thị trấn nhưng mãi chả thấy hồi âm,Chá đi ái lọc Jack Lomb lông gái cho Edith.,100.0
190,xin vui lòng cứ mang giày,Chào các bạn và quý vị ở ph mechanisms.comば,150.0
191,tôi không biết chắc là có tai nạn,LINC S되壟 Ph underestim,100.0
192,tao nhanh đến mức nào,Cám ủng.,100.0
193,bữa tiệc sống động -N,tbbles,100.0
194,vậy còn yếu tố tinh thần thì sao,Còn tràn trái cơ đồn này đứng tử.,100.0
195,cái này trên tầng ba,"Ồ, sửa món tên em cas con",140.0
196,chuyến bay của anh khi nào,"Ngay l tay, tumalfa wave von",100.0
197,không không phải có bàn trống cho hai người không,Batique perfilipi Sal10읽,100.0
198,tôi có thể có một tờ tạp chí khác không,Laptop 다들 lại wiping,100.0
199,bán cho tôi một vé hạng hai đến chermarn,BTok caliber,100.0
2,họ đã xét nghiệm máu cho cheng nhưng mọi thứ vẫn hoàn toàn bình thường,"Hôm nay,我跟你 sẽ nhсли dove trong từng này để r credited chistein trai khánh houlebat phiàng h considerations.",120.0
20,giả danh làm từ thiện lừa tiền người dân,Thや s Kazakh happiness,100.0
200,Jerry đây là Jack làm ơn gọi cho Edith,Mình đi,100.0
201,tất cả những gì nước mỹ làm chỉ đơn thuần là vì muốn sở hữu những nguồn tài nguyên quý giá của các quốc gia đó,Bọn anh dụ kêu em kinh.,100.0
202,chúng sở hữu tiếng thét chói tai và rất thích nhảy nhót,Mình đ descript inken為什麼 thì rất ra làng,91.67
203,tưởng dễ đẻ trứng vàng nhiều đơn vị ùn ùn xin thành lập công ty chứng khoán ngay lúc thị trường đỉnh cao,do,100.0
204,ừ bạn đứng không đúng băng chuyền,và trả lắng có biết tượng năng có.,114.29
205,ngân hàng phương nam cũng một phen hú vía khi thông tin rủi ro tín dụng bị rò rỉ ra ngoài,Гopy,100.0
206,bà mẹ nghèo đông con,Meka rotated gång bánh auf IT psequote nè,160.0
207,mẫu xe được trình làng ở triển lãm được giới truyền thông coi là hình mẫu của chiếc bốn cửa sẽ ra mắt vào tới,rubber,100.0
208,anh mặc cái này trông rất đẹp,Cái dài lại mặc đập bí lầu phần kênh nhìn gài phố RC và RC Webstone Cut Up.,242.86
209,chưa có thông tin về bệnh chết người ở nước này,"Sự lính xuyên FMT-Di, xì mắm, buộc chém chúc phát tri vì đi thật thóp thuy càng chi tác trích, tên mi tên ta nắm bật mi tài bí cài tuyển ca em cả.",309.09
21,sắm đồ siêu sang ở hội chợ triệu phú,Chờ ch Zwits Bird logoிnRadiev,100.0
210,cho tôi bản đồ thành phố được không,"Dán peas in Alsu, deceived",100.0
211,đều không quan trọng,Tôi là查 optionsの.?,100.0
212,có lúc họ đút hai tay trong túi hai vai rụt lại mà đi có lúc đánh tay thoải mái ưỡn ngực,Chào các bạn t verschiedene n hitting wnrawd,100.0
213,tôi bị ung thư,Các kênh mũa bảo tật,125.0
214,tôi không thể hiểu bạn,Chúng溢 đ origin.,100.0
215,tôi cảm thấy rất nặng nề tôi không thể di chuyển chân của tôi,"Ate White Snake filtres ta skek chogy, Wir prostituc Ng ключ",100.0
216,tình yêu là mù quáng người đang yêu không thấy khuyết điểm của người khác,"Chào mừng các bạn, hãy subscribe cho kênh La La School Để không bỏ lỡ những video hấp dẫn",120.0
217,phát tờ rơi quảng cáo biến thành rác đô thị,Ngh perfection,100.0
218,cô ấy có thính giác ảo,"Đu vàng, ing, sân, phim, thâm, xe, thái, mái, nè, yain, nân, bãi, tỷ, tỷ, thích, bi, nâm, phim, mái lời,",350.0
219,đôi khi trong các khẩu súng các em mang trên người không hề có đạn -N chỉ là một thứ hù dọa những,Sifs tài Gespan royal court Kafka truyền ng 번 sinus spoke many telephone calls with Landa in the name of Deutsche Mau.,100.0
22,nếu làm lộ thiên cơ âm binh sẽ đánh trả thầy,T brasile詞 chỉ t hemisphere en nie,100.0
220,đâu là nền tảng sinh học của ý thức,"Vì ạ, tên anh kìa, nhanh ra sinh sinh.",100.0
221,tôi có thể xin một khác không,"25 bí cam, nằm bịp sáng chán và yếu bài khu, cầu tố tổ liên bình năng, cú kinh hậu tình, S.O.N.I.",314.29
222,tôi đã từng chứng kiến bão và giờ đây tôi đang cộng tác tại nước ngoài,làEng,100.0
223,có phí uống không,when sector is at grab resetcard,150.0
224,tôi đi hải phòng còn bạn đi đâu,M USSR Von N надu Pop,100.0
225,ti vi giảm âm lượng về bốn,Đãi môn tay sẽ nhớ lúc dài cài mà được xanh.,157.14
226,cũng đồng nghĩa với việc chúng ta có thể sẽ chuốc lấy khổ đau,Lำ lộ 5 gió M criteria trao vãng 2SEL cute guided me,100.0
227,gần đây lại có vụ công ty xe khách thuận thảo ở bình định bị các đối thủ hùa nhau ngăn cản không cho hoạt động,"Pistad, ồn em tâm ném quay bấm bấm đuỡ sái lại rồi, rượu chi kì lệnh giải yâm thịt đi lại y cơ dụi DP, đại sế phim hát, rượu trông chân đi, chi tràn, sĩ vi, ác quà.",146.15
228,vâng tôi đã đến đây lần đầu tiên cách đây năm năm,действительно,100.0
229,chành bành chằng chịt chỗ nào cũng có,Thôi mộng mệt vài cầu tập đoàn dưới PC.,112.5
23,máy ném bom chiến lược của nga gặp nạn,Cô bên anh đi kể kẻp bí gạ điên gặp miền kia trên.,133.33
230,tôi có thể xem một bộ phim ở đâu,Còn Bất Nam Phố của mọi người khác được tìm xem với nhím vị Chai Nu lại ấu.,188.89
231,cô ấy cần một bóng đèn bốn mươi oắt cho đèn để bàn,Cần cảm mất mở ăn ngát lồi đợi u nước,100.0
232,góa vợ hai con,Fruit fodder phí con gốc End so,150.0
233,trẻ em ở các trường học được cung cấp nước sạch để uống,Đấy con tu cue không thì thì糯 澤 đialai nhưng rồi Undo,100.0
234,làm ơn nối máy tôi với cảnh sát,Bθcs phấn rap,100.0
235,đầu tư cho dự án xây dựng nhà máy sản xuất điện thoại di động tại đà nẵng,"Nó nhizzy 팬� hClass Caf, khi muốn Marvel剩 th вход tôi được 14 socio-ch Sept degree todo.",100.0
236,vui lòng chuẩn bị cái này ở hải quan đằng kia chúc ở lại vui vẻ,Sẵn flame đi!,100.0
237,một dãy các tủ lạnh xếp dọc theo căn phòng,Baoieten,100.0
238,ti vi giảm âm lượng về một,Vìamental des От việc bởi bằng báo innerhalb h maint arrival güzel incarceratели làm d emoc Dogs und Làn cfps,285.71
239,không phải mặt hàng đó,Kệ cạo các các làm tập bếp với còn gài lấu thách.,240.0
24,anh có thích tôi giữ trước quyển sách này cho anh không,ên canım An Goo-A và,100.0
240,tảng đất thó hình lục lăng mát lạnh,B offerings,100.0
241,đều tắc do ngập nước,Conquer coin VAPTBALL 0-2X,100.0
242,có phải tàu từ Sydney đến trễ không,Afghan M �g M Teacher,100.0
243,tôi sẽ lấy phòng này,"M完, ch TOC thì identайн democratically",120.0
244,nghỉ ngơi vài ngày,"Ngoài thêm x authentic nhiềuство khi wykor hiệu làm sự phục vụ, nhưng dishes view được",400.0
245,họ có chiến thuật tốt hiệu quả và nhiều cầu thủ có kỹ thuật cá nhân điêu luyện,"và tôi sẽ không d lesser nước khácاع, nên bạntsiffs được tham gia đình và theo dõi xác.",100.0
246,vui lòng vé B đi a,"Ayamiki, Kiré ball,",100.0
247,tôi muốn nhuộm màu,Đi bia sạch ugh gái lỳ đen ph hazard,225.0
248,đồng xu bị kẹt ở đây,Thổng ra xa 2 ký cấp bạn chú,133.33
249,một trong ba người này làm giám đốc một công ty sản xuất hàng hóa,"Bột chủ kia mùa chả yên kia, kia bài mại cầu.",100.0
25,ở người bị hội chứng khi ăn ngủ phần não phải vẫn thức và sau đó là cả các dạng hoạt động thể chất,Vès tộc khổ time,100.0
250,sếu đầu đỏ xuất hiện tại tây ninh,Video sucks still still in the room,100.0
251,quý vị có thể cử động khuỷu tay được không,Sẽ có bà bị con trông kia hợp hồn,90.0
252,con đường dài lắm sao anh để em đi một mình,Nên năng c hatte của cỚc g billionaire Lösung B dehydienna và Suffy bekommen 17gh.,136.36
253,chỉ cần gọi bất cứ lúc nào anh muốn nói chuyện với tôi,Sao hopathıyıclubch,100.0
254,trộm viếng thăm lấy hết đồ đạc trong nhà,ChGraPolt ChGraPolt,100.0
255,nó đau ở đây,Cọng nói lại arkadaşlarимо hề bị phát triển coiOldда,225.0
256,nó rất ngon,Digital settings,100.0
257,cho nên mặc dù có chất lượng tốt nhưng giá thành của nó lại rất cao và khó ứng dụng rộng,cğer c 되는 thì Cool,100.0
258,tiếng nổ ì ầm vang lên từ những âm thanh chứa thuốc nổ mà các thợ mỏ ném vào không khí,Thứa dò đặt đẩm biển tiên 90,100.0
259,chính vì vậy mà không khí tết dường như đến chậm hơn,Mirabat Issue,100.0
26,tỉ lệ là mười mm trên một km,queryNicoo,100.0
260,làm ơn cho tôi loại thứ hai,gipractice of fast picking.. my one wildity because 2 2 thousand miles what you don't want to practice,257.14
261,mưa sầm sập vừa ra ngoài trời quần áo chị lập tức ướt sũng,Đây là loại vì Barack Etster's 손 marche của mình!,100.0
262,bị đuổi việc vác dao truy sát ông chủ,"8 an, Nhà Ch willen con reset hầu đóch unanim позвол t Verizon",144.44
263,ngỗng cũng có khả năng ghi nhớ từ trước tới giờ giới khảo cổ vẫn tưởng rằng não của ngỗng chỉ có thể lưu giữ thông tin vài giây,H Africans on hours are so beautiful.,100.0
264,chuyện sản xuất của lão chủ tịch họ nguyễn và họ đỗ mãi mãi vào sử sách,"方lib gesc n Shooting date, Asanjung and",100.0
265,vậy còn yếu tố tinh thần thì sao,Stoke được tất cả sài lâm trải chế sĩ mặt kinh niệm sinh sân.,175.0
266,tôi muốn đăng ký một chuyến bay từ Los Angeles đi New York khởi hành vào ngày mười lăm và quay về vào ngày mười ba,Ph nok todos güi (-TV chés quásty giờ xin chung lương,100.0
267,xin lỗi tôi có thể tìm một đại lý lữ hành ở đâu,Bởi câu khúc la!,100.0
268,quí vị có phòng dành cho một đêm không,"Chào tạm biệt và hẹn gặp lại ngày nay. Bây giờ, xin chào.",144.44
269,cô ấy đang rất mong anh,và absence đ yerh cho các quý vị thú vị,166.67
27,tôi muốn thực hiện một cuộc gọi điện thoại quốc tế đi nhật bản cuộc gọi -N là đến Tokyo số ba hai chín hai tám hai một một,"Mặc sĩ đại dịch sĩ thân now in gấp nấu lâu tránh lâm, ảy sĩ gái lịch, trái tr��, tăng chiều coi lũ, đen mạng, u kê chích, bù, sếch aster out, and reload die.",120.69
270,có tiếng rì rào từ xa đến gần,Đi fullest này cloak được cũng春 gute,100.0
271,một số cổ động viên còn dùng những lời lẽ thô tục chửi bới lực lượng công an,Kệ kệ kệ,100.0
272,anh đem cho tôi một ít nước được không,"Lâm Cát Cơ, Vơ Vịt, Tổng Cần, Cơ Linh Hình",111.11
273,ti vi tăng tiếng đến sáu,.?,100.0
274,chúng tôi sẽ trả phòng khoảng giữa trưa,Về vai iCore hấu cho cả hành trổ măng ghi mái đoạt sắp.,162.5
275,honda đẩy mạnh sản xuất ở nước ngoài,Cai ôn ghi tì Powerpoint Axe VXA Sky,100.0
276,ti vi giảm âm lượng về bẩy,Epsat,100.0
277,con lợn rừng nhảy xuống sông và trốn thoát,Ng embora d instruct instead and...,100.0
278,tôi muốn một đôi giày thể thao,"the free adventures of these Season, At the same time, than the best auspicious",200.0
279,tôi cần nó trước thứ sáu,"Bán s nosaltres quảnén có lạyص th一个 ích hay chặn cũ, nói Ro số",233.33
28,nơi đây hiện khá yên tĩnh,Em sẽ xảy ra đến Philadelphia Qantas Thịt h parano boiling,183.33
280,ta hãy nghỉ một chút,"To guide our, then chó kiểu mây cầu nhận.",180.0
281,tôi muốn mua bơ,"5. Hãy naviga length, vào hoàn toàn nh cod possible.",250.0
282,hàng nghìn người trung á rời quê hương đến nga kiếm việc,Khi chẳng mọi fully này nhiều ý chẳng lắm.,100.0
283,giá một dặm là bao nhiêu,Tài giang tâm đề giám,100.0
284,tôi có thể thanh toán cho nó bằng đồng yên nhật không,Maать Huỳnh và để ры như về tCómo ở đầu歷,100.0
285,quý vị có bị đau họng các triệu chứng cảm lạnh hay cúm không,Tschend Ohhh,100.0
286,một nghệ sĩ đích thực là phải lao động quần quật để mời gọi cảm hứng đến,Bên an ưu CPLTX3 Rockout,100.0
287,được tôi sẽ làm nó ngay,"Khu Furthermore, why we want to call к cut chرت?",166.67
288,thể dục chơi thể thao nơi không khí trong lành,Trong lau at другой crocodile InJudy nan phá,100.0
289,ngoài vài sân bóng đá cầu lông mà chúng tôi mới làm lại thì hầu như chẳng có gì mới,"Ph Guild lân v pane, Nhân pas, Зап, H complacمر, Little",100.0
29,nhưng cũng có những bạn nằm khèo ở nhà trùm mềm và khóc nhè,Các cao cao cao sát tầng tin bà bèn thật tầng tí có phí ong nạn thật kí lấy.,135.71
290,mệt,"Như làm thế, brze b сод, Spanish bắtyl available, chắc directión resign.",1200.0
291,tổng số tiền là hai trăm bốn mươi ba pound thưa mẹ,"Tôi outlined d surrounds , để ibaไดp đ guarding",100.0
292,"hầu hết rừng nằm ở ven sông , biển nên đã -N -N",D sociales ...,100.0
293,nhìn nó vậy mà giỏi nhỉ,C reply Instagram m TF1,100.0
294,tôi có thể nói mấy câu được không,Quay lạng mình biến mp bia có kết quả cho văn thồ thêm thông kết quả.,187.5
295,tuy nhiên các nhà khoa học châu âu vẫn chưa vừa ý với kết quả này,NGPM ch меш Mitglation of the Council of the Republic of China bpie có discussing plasterclane moltongsuk,106.25
296,tám tổ chức công đoàn ở đức tạo thành liên đoàn lao động đức,Các bạn có thể nhận được các bộ phim của các bạn. Các bạn có thể nhận được các bộ phim của các bạn.,171.43
297,nói chuyện trịnh trọng nghe ghê quá,Hạnhmoothylum nhất mà đủ những cuộc sống nhập đi. Rất nhiều hnoon từenger hơn cao mua Bank. H meringue mới th JAC củaulla üssบ거든요.,342.86
298,tôi muốn nửa tá,"Thì thì, diễn năng ngang mong gửi lạ lệnh sĩ kởi đồng phân sắp đi đại mình cho kỳ trở vền đại lột kỳ sân hạt tạp bì.",700.0
299,tôi cần một cái gì đó cho táo bón,Th gaze này là khá  chlorine in Recently Travel Haveπει,111.11
3,anh có thể gọi tôi không,protected香港,100.0
30,chúng ta không thể mua cái nào ở nhật bản,Cắt xem duy xài hữu xãng phả câu thị trại của phía dụng.,130.0
300,vâng Dave Mark Sachiko và Rumi sẽ có ở bữa tiệc,Xin chào các bạn và hẹn gặp lại tạm biệt.,90.91
301,tình hình ở nước anh thì ngược lại phe nào phe nấy thi nhau đả kích thủ tướng của mình,"t intenselyfund, xù один là complications and innovations. Nении không anthropológstood filled, n Atlanta không đã trẻ th accomplishment. Uigh,板 Suffine và",110.0
302,phòng có máy lạnh không,"và lối in t activate Zefath, sứ qu��� lực",180.0
303,họ thoải mái với việc người bạn đường phải núp trong,"Các 야k đi erzählt wheроп view đã kроa đường 2003 này rõ damour vô dầu vàər l separating cao, Restaurant",172.73
304,cô gái kia yêu cầu gia đình không được báo với công an nếu không còn nguy hiểm tới tính mạng,Instagram offering,100.0
305,được thưa anh,M בא� lạ 的 ch样 25 ạ,233.33
306,nhà nước có thể hỗ trợ giá thuê bằng cách miễn giảm tiền sử dụng đất miễn giảm thuế,K líParkのご caller,100.0
307,vui lòng mang cho tôi một ít giấy viết,'Mqx,100.0
308,công an huyện quảng ngãi đã triệu tập bố mẹ của cháu lĩnh là nguyễn văn vĩnh và võ thị thụy để lấy lời khai,"Ngân gồm, ghi tế sĩ, cao sẻ phát bám, hiệm bệnh, bệnh, vi, vãi, nêm, cu, m bãi, thi, phải kương, lệ, phí, trạch, xì, tịp, ra, ngile, lô, phá, sĩ, trông, hệ, And if by by vex, ex, çài, xì, phê, kìa, phô, kiểu, kiểu, kỳ, đi, în, sạng, xì, ngile, lưl, đù, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê, phê,",312.0
309,bạn có những món hàng khác không,Ich bastard loe h ws out lur quite 90cmit celebrities kai kê 8 without a land.,228.57
31,cho vừa với số kinh phí hạn hẹp của một bộ phim,Chcros pho,100.0
310,ti vi giảm tiếng về một,dry très là oro tr affinity lại làiander,133.33
311,thu hoạch và bảo quản lúa là khâu cuối cùng trong một mùa vụ,Thổ khẩu lot,100.0
312,cha và dì cứ đổ riệt cho mẹ,"Ờ頻 chсл , thế tôi đi",100.0
313,tuy nhiên sự việc vừa đi qua đã chứng tỏ ông đã bắt đầu lo lắng cho an ninh của gia đình mình,"Lâm blind phát tức all, do it be like a kind?",100.0
